[13:16:49] 192.168.0.147 -> 20.189.173.7 | TCP | 64059 -> 443
[13:16:49] 20.189.173.7 -> 192.168.0.147 | TCP | 443 -> 64059
[13:16:49] 20.189.173.7 -> 192.168.0.147 | TCP | 443 -> 64059
[13:16:49] 192.168.0.147 -> 20.189.173.7 | TCP | 64059 -> 443
[13:16:49] 20.189.173.7 -> 192.168.0.147 | TCP | 443 -> 64059
[13:16:50] 192.168.0.147 -> 20.189.173.7 | TCP | 64059 -> 443
[13:16:50] 20.189.173.7 -> 192.168.0.147 | TCP | 443 -> 64059
[13:16:50] 20.189.173.7 -> 192.168.0.147 | TCP | 443 -> 64059
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:51] 192.168.0.1 -> 239.255.255.250 | UDP | 41203 -> 1900
[13:16:53] 192.168.0.171 -> 192.168.0.255 | UDP | 138 -> 138
[13:16:54] 192.168.0.132 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:16:54] 192.168.0.164 -> 224.0.0.251 | UDP | 5353 -> 5353
[13:16:56] 192.168.0.147 -> 142.251.220.74 | UDP | 49405 -> 443
[13:16:56] 142.251.220.74 -> 192.168.0.147 | UDP | 443 -> 49405
[13:16:57] 192.168.0.147 -> 142.251.220.36 | UDP | 50201 -> 443
[13:16:58] 142.251.220.36 -> 192.168.0.147 | UDP | 443 -> 50201
[13:16:59] 192.168.0.147 -> 142.250.71.110 | UDP | 50423 -> 443
